"Dataset S27. Molecular rates, environmental predictors, and life-history traits of species based on mitochondrial genes used in this study.",,,,,,,,,,,,,,,,,,,,,,,,
GenBank,ThermoMode,Group,Class,Order,Family,Species,Clade,dN (substitution/site/year),dS (substitution/site/year),dNdS,Clade.Age (Ma),Tip.Age (Ma),Mid Latitude (°),Mean Annual Temperature (℃),Habitat,BodyMass (g),Longevity (year),MaturityAge (year),Fecundity (Individual/year),Migration,Ref.BodyMass,Ref.Fecundity,Ref.MaturityAge,Ref.Longevity
KY623656.1,Endotherms,Birds,Aves,Charadriiformes,Recurvirostridae,Himantopus_himantopus,Birds_Node1976,2.52E-10,1.36E-08,0.02,26.73,6.40,28.89,16.02,Terrestrial,176.8,16.0,2.0,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KY623657.1,Endotherms,Birds,Aves,Charadriiformes,Recurvirostridae,Recurvirostra_avosetta,Birds_Node1976,2.92E-10,1.06E-08,0.03,26.73,6.40,32.92,14.30,Terrestrial,304.0,27.8,2.0,3.5,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356267.1,Endotherms,Birds,Aves,Charadriiformes,Thinocoridae,Thinocorus_orbignyianus,Birds_Node1952,2.20E-10,1.69E-08,0.01,25.68,22.76,31.30,7.28,Terrestrial,115.0,13.4,1.4,4.0,Short Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356246.1,Endotherms,Birds,Aves,Charadriiformes,Rostratulidae,Nycticryphes_semicollaris,Birds_Node1952,3.32E-10,1.02E-08,0.03,25.68,16.14,31.98,17.63,Terrestrial,76.6,13.1,1.8,2.0,Resident,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356297.1,Endotherms,Birds,Aves,Charadriiformes,Rostratulidae,Rostratula_benghalensis,Birds_Node1952,4.40E-10,1.53E-08,0.03,25.68,16.14,16.61,26.33,Terrestrial&Marine,121.0,12.0,1.2,3.2,Resident,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MH219929.1,Endotherms,Birds,Aves,Charadriiformes,Jacanidae,Hydrophasianus_chirurgus,Birds_Node1952,3.17E-10,1.45E-08,0.02,25.68,10.40,20.19,22.25,Terrestrial,160.0,12.0,1.2,4.0,Short Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KJ631049.1,Endotherms,Birds,Aves,Charadriiformes,Jacanidae,Jacana_jacana,Birds_Node1952,2.86E-10,3.34E-09,0.09,25.68,1.75,12.34,24.00,Terrestrial,106.2,9.3,1.5,4.0,Resident,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KJ631048.1,Endotherms,Birds,Aves,Charadriiformes,Jacanidae,Jacana_spinosa,Birds_Node1952,4.20E-10,8.72E-09,0.05,25.68,1.75,18.14,24.32,Terrestrial,94.0,10.2,1.4,4.0,Resident,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KP308149.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Numenius_phaeopus,Birds_Node1952,3.55E-10,1.35E-08,0.03,25.68,7.32,33.63,21.00,Terrestrial&Marine,364.6,24.0,2.2,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MK108195.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Numenius_tenuirostris,Birds_Node1952,3.10E-10,1.56E-08,0.02,25.68,7.32,31.10,19.33,Terrestrial,308.0,17.4,2.1,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KX371106.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Limosa_lapponica,Birds_Node1952,2.31E-10,1.25E-08,0.02,25.68,15.96,30.10,20.51,Terrestrial&Marine,291.7,34.0,2.3,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KY888681.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Gallinago_stenura,Birds_Node1952,4.04E-10,2.28E-08,0.02,25.68,11.56,45.70,0.83,Terrestrial,113.0,13.7,1.1,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KM434134.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Scolopax_rusticola,Birds_Node1952,4.02E-10,2.88E-08,0.01,25.68,11.56,48.46,4.56,Terrestrial,308.3,17.0,1.1,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
AY074885.2,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Arenaria_interpres,Birds_Node1952,3.03E-10,1.58E-08,0.02,25.68,11.33,38.14,15.33,Terrestrial&Marine,136.0,22.3,2.0,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MK341548.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Calidris_tenuirostris,Birds_Node1952,2.57E-10,1.45E-08,0.02,25.68,8.87,30.49,5.31,Terrestrial&Marine,192.0,24.0,2.0,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN956840.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Calidris_pugnax,Birds_Node1952,3.44E-10,1.84E-08,0.02,25.68,7.95,37.97,4.88,Terrestrial&Marine,131.7,18.5,2.0,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KP742478.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Calidris_pygmaea,Birds_Node1952,3.65E-10,1.71E-08,0.02,25.68,3.84,30.42,5.35,Terrestrial&Marine,31.7,12.8,1.4,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MG736926.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Calidris_ruficollis,Birds_Node1952,2.85E-10,1.57E-08,0.02,25.68,3.84,34.65,6.76,Terrestrial&Marine,26.8,21.8,1.4,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KY765409.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Phalaropus_lobatus,Birds_Node1952,3.19E-10,1.91E-08,0.02,25.68,10.80,49.71,22.42,Terrestrial&Marine,36.7,12.9,1.0,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KX644890.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Xenus_cinereus,Birds_Node1952,2.71E-10,2.08E-08,0.01,25.68,10.80,48.48,-0.86,Terrestrial,78.8,16.9,1.5,3.5,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KX668223.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Tringa_ochropus,Birds_Node1952,3.78E-10,1.74E-08,0.02,25.68,8.96,36.28,11.43,Terrestrial,71.4,11.6,1.1,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MK922124.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Tringa_totanus,Birds_Node1952,4.32E-10,1.36E-08,0.03,25.68,4.11,34.08,19.19,Terrestrial&Marine,129.0,26.9,1.4,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KY128485.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Tringa_glareola,Birds_Node1952,2.19E-10,1.65E-08,0.01,25.68,4.11,36.30,9.92,Terrestrial,62.1,11.7,1.1,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MF036175.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Tringa_semipalmata,Birds_Node1952,2.08E-10,1.56E-08,0.01,25.68,4.20,28.29,23.06,Terrestrial&Marine,245.7,15.4,2.0,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MK905885.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Tringa_guttifer,Birds_Node1952,4.76E-10,1.76E-08,0.03,25.68,4.20,32.05,15.77,Terrestrial&Marine,158.0,14.7,1.5,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MK460251.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Tringa_nebularia,Birds_Node1952,2.53E-10,1.83E-08,0.01,25.68,4.18,32.59,12.77,Terrestrial,187.0,24.4,2.0,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KX230491.1,Endotherms,Birds,Aves,Charadriiformes,Scolopacidae,Tringa_erythropus,Birds_Node1952,3.84E-10,2.10E-08,0.02,25.68,4.18,36.72,11.93,Terrestrial&Marine,158.0,15.5,1.5,4.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356323.1,Endotherms,Birds,Aves,Charadriiformes,Dromadidae,Dromas_ardeola,Birds_Node1926,2.29E-10,1.13E-08,0.02,20.89,19.09,16.96,27.11,Terrestrial&Marine,325.0,17.7,2.6,1.0,Short Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356261.1,Endotherms,Birds,Aves,Charadriiformes,Glareolidae,Rhinoptilus_africanus,Birds_Node1926,3.02E-10,1.80E-08,0.02,20.89,15.48,18.69,21.10,Terrestrial,87.5,13.2,1.5,1.0,Resident,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Estimated by body mass,Estimated by age of sexual maturity
MN356161.1,Endotherms,Birds,Aves,Charadriiformes,Glareolidae,Glareola_pratincola,Birds_Node1926,2.64E-10,1.90E-08,0.01,20.89,15.48,22.80,21.48,Terrestrial,84.9,12.6,1.2,3.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KM401546.1,Endotherms,Birds,Aves,Charadriiformes,Stercorariidae,Stercorarius_maccormicki,Birds_Node1926,3.43E-10,9.75E-09,0.04,20.89,7.67,58.07,4.97,Terrestrial&Marine,1347.1,29.6,6.0,2.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356186.1,Endotherms,Birds,Aves,Charadriiformes,Stercorariidae,Stercorarius_parasiticus,Birds_Node1926,3.29E-10,1.34E-08,0.02,20.89,7.67,52.36,14.73,Terrestrial&Marine,444.3,31.1,4.0,2.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN337912.1,Endotherms,Birds,Aves,Charadriiformes,Alcidae,Aethia_cristatella,Birds_Node1926,2.42E-10,1.26E-08,0.02,20.89,15.04,52.41,8.90,Terrestrial&Marine,259.4,18.0,3.3,1.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
NC_007978.1,Endotherms,Birds,Aves,Charadriiformes,Alcidae,Synthliboramphus_antiquus,Birds_Node1926,3.26E-10,1.07E-08,0.03,20.89,3.26,46.25,10.58,Terrestrial&Marine,217.7,9.8,3.0,2.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KT592378.1,Endotherms,Birds,Aves,Charadriiformes,Alcidae,Synthliboramphus_wumizusume,Birds_Node1926,3.65E-10,1.28E-08,0.03,20.89,3.26,38.68,15.61,Terrestrial&Marine,198.0,9.1,2.4,2.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356419.1,Endotherms,Birds,Aves,Charadriiformes,Alcidae,Cepphus_grylle,Birds_Node1926,3.30E-10,1.25E-08,0.03,20.89,11.56,66.97,3.14,Terrestrial&Marine,378.0,25.9,3.5,2.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356418.1,Endotherms,Birds,Aves,Charadriiformes,Alcidae,Uria_aalge,Birds_Node1926,3.43E-10,1.47E-08,0.02,20.89,8.98,54.62,9.16,Terrestrial&Marine,991.9,38.0,4.1,1.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MF188889.1,Endotherms,Birds,Aves,Charadriiformes,Alcidae,Pinguinus_impennis,Birds_Node1926,3.83E-10,1.17E-08,0.03,20.89,6.19,54.55,9.97,Terrestrial&Marine,5000.0,20.2,2.5,2.0,Resident,Birds of the World,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356408.1,Endotherms,Birds,Aves,Charadriiformes,Alcidae,Alca_torda,Birds_Node1926,2.64E-10,1.55E-08,0.02,20.89,6.19,58.71,7.73,Terrestrial&Marine,726.0,42.0,4.5,1.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356248.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Rynchops_niger,Birds_Node1926,4.39E-10,1.78E-08,0.02,20.89,14.66,14.73,23.82,Terrestrial,297.7,20.0,3.0,3.5,Short Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KT350612.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Sternula_albifrons,Birds_Node1926,2.99E-10,1.41E-08,0.02,20.89,9.86,28.55,10.35,Terrestrial,57.0,23.9,3.0,2.5,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN122905.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Hydroprogne_caspia,Birds_Node1926,4.19E-10,1.39E-08,0.03,20.89,5.42,29.08,17.94,Terrestrial,655.0,30.0,3.0,2.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MF582631.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Gelochelidon_nilotica,Birds_Node1926,2.64E-10,1.25E-08,0.02,20.89,5.42,23.58,17.25,Terrestrial,218.2,20.0,5.0,3.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MF582632.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Sterna_hirundo,Birds_Node1926,3.86E-10,1.59E-08,0.02,20.89,2.25,38.84,3.43,Terrestrial,129.2,33.7,3.2,2.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MK946458.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Sterna_paradisaea,Birds_Node1926,1.98E-10,1.66E-08,0.01,20.89,2.25,62.82,-8.25,Terrestrial,110.0,34.0,3.5,2.4,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356420.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Rissa_tridactyla,Birds_Node1926,2.16E-10,7.22E-09,0.03,20.89,7.06,53.44,10.05,Terrestrial&Marine,416.0,28.5,4.0,2.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KJ631624.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Chroicocephalus_saundersi,Birds_Node1926,4.07E-10,1.05E-08,0.04,20.89,5.94,29.54,18.46,Terrestrial,198.0,15.3,2.0,3.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MT876573.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Chroicocephalus_brunnicephalus,Birds_Node1926,1.03E-10,5.70E-09,0.02,20.89,1.30,21.03,17.75,Terrestrial,569.3,21.8,3.4,3.0,Short Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356336.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Chroicocephalus_maculipennis,Birds_Node1926,4.08E-10,7.98E-09,0.05,20.89,1.30,37.43,13.13,Terrestrial,339.0,19.1,3.0,2.4,Short Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KC760146.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Ichthyaetus_relictus,Birds_Node1926,3.06E-10,6.29E-09,0.05,20.89,3.71,46.63,1.06,Terrestrial,490.2,22.7,3.4,2.4,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KM507782.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Larus_crassirostris,Birds_Node1926,4.44E-10,7.47E-09,0.06,20.89,2.57,34.82,19.97,Terrestrial&Marine,561.0,22.7,3.5,2.5,Short Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN122843.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Larus_canus,Birds_Node1926,3.86E-10,7.24E-09,0.05,20.89,1.37,53.35,1.15,Terrestrial,412.5,33.7,3.0,3.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN122936.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Larus_argentatus,Birds_Node1926,3.41E-10,4.78E-09,0.07,20.89,0.84,59.23,5.39,Terrestrial,1091.0,34.8,4.5,3.0,Short Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356257.1,Endotherms,Birds,Aves,Charadriiformes,Laridae,Larus_smithsonianus,Birds_Node1926,2.90E-10,5.00E-09,0.06,20.89,0.84,52.49,-1.15,Terrestrial,1350.0,32.1,4.0,3.0,Long Migratory,Birds of the World,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
NC_007979.1,Endotherms,Birds,Aves,Phaethontiformes,Phaethontidae,Phaethon_rubricauda,Birds_Node1920,3.03E-10,7.15E-09,0.04,56.23,9.21,16.91,24.18,Terrestrial&Marine,671.9,32.7,3.8,1.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KR349465.1,Endotherms,Birds,Aves,Phaethontiformes,Phaethontidae,Phaethon_lepturus,Birds_Node1920,2.11E-10,4.29E-09,0.05,56.23,9.21,13.55,25.53,Terrestrial&Marine,328.0,19.2,4.0,1.0,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
EF532933.1,Endotherms,Birds,Aves,Eurypygiformes,Rhynochetidae,Rhynochetos_jubatus,Birds_Node1920,3.18E-10,9.24E-09,0.03,56.23,29.59,21.33,20.84,Terrestrial,860.0,25.0,2.2,1.0,Resident,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MN356130.1,Endotherms,Birds,Aves,Eurypygiformes,Eurypygidae,Eurypyga_helias,Birds_Node1920,3.17E-10,1.34E-08,0.02,56.23,29.59,7.23,25.00,Terrestrial,210.0,15.0,2.1,2.0,Resident,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
AY293618.1,Endotherms,Birds,Aves,Gaviiformes,Gaviidae,Gavia_stellata,Birds_Node1918,2.25E-10,8.22E-09,0.03,13.97,13.97,61.49,7.54,Marine,1486.0,23.6,2.5,1.7,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MH064399.1,Endotherms,Birds,Aves,Gaviiformes,Gaviidae,Gavia_arctica,Birds_Node1918,2.41E-10,7.84E-09,0.03,13.97,5.16,58.40,7.67,Marine,2251.1,28.0,2.6,1.7,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,The Worldwide Variation in Avian Clutch Size across Species and Space,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MK342599.1,Endotherms,Birds,Aves,Gaviiformes,Gaviidae,Gavia_pacifica,Birds_Node1918,2.46E-10,1.06E-08,0.02,13.97,5.16,60.74,4.51,Marine,2251.1,28.0,2.6,1.5,Long Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
MK801135.1,Endotherms,Birds,Aves,Sphenisciformes,Spheniscidae,Aptenodytes_patagonicus,Birds_Node1888,2.72E-10,1.01E-08,0.03,21.00,4.29,55.37,2.36,Terrestrial&Marine,11731.1,27.5,5.0,1.0,Short Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KT159230.1,Endotherms,Birds,Aves,Sphenisciformes,Spheniscidae,Aptenodytes_forsteri,Birds_Node1888,3.09E-10,8.80E-09,0.04,21.00,4.29,68.36,-1.20,Terrestrial&Marine,33569.3,36.3,5.7,1.0,Short Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
KU356676.1,Endotherms,Birds,Aves,Sphenisciformes,Spheniscidae,Pygoscelis_adeliae,Birds_Node1888,2.12E-10,9.45E-09,0.02,21.00,9.70,66.99,-0.92,Terrestrial&Marine,4847.7,28.7,5.5,2.0,Short Migratory,Ecological drivers of global gradients in avian dispersal inferred from wing morphology,Birds of the World,Generation lengths of the world's birds and their implications for extinction risk,Generation lengths of the world's birds and their implications for extinction risk
